Id,MlsNumber,BathroomTotal,Bedrooms,SizeInterior,StoriesTotal,Type,AreaUnformatted,HalfBathTotal,PriceUnformattedValue,Longitude,Latitude
27415089,A2165086,3,2 + 0,1518.23 sqft,2,Row / Townhouse,1518 sqft,1,549900,-114.1190513,51.0364175
27415088,A2165829,4,3 + 1,2027.62 sqft,2,House,2028 sqft,1,849900,-114.0942783,50.924572975
27415062,A2165820,2,2 + 4,1068.4 sqft,1,House,1068 sqft,0,799000,-114.1324373,51.0900186
27415055,A2164556,2,2 + 0,881.1 sqft,3,Apartment,881 sqft,0,349000,-114.163274616,51.024862212
27415047,A2165779,3,3 + 0,1318 sqft,3,Row / Townhouse,1318 sqft,1,484010,-113.952924937,50.864356816
27415043,A2165786,3,3 + 0,1341 sqft,3,Row / Townhouse,1341 sqft,1,507010,-113.952924937,50.864356816
27415027,A2165133,4,4 + 1,1938.7 sqft,2,House,1939 sqft,1,728000,-114.044579774,51.146774241
27414999,A2165811,4,3 + 1,2151.33 sqft,2,House,2151 sqft,1,799900,-114.2104982,51.0737713
27414942,A2165103,3,3 + 1,1270 sqft,,House,1270 sqft,0,649900,-114.184492454,51.137037579
27414907,A2165185,2,2 + 0,971 sqft,4,Apartment,971 sqft,0,286800,-113.944701982,51.038414481
27414870,A2165665,2,3 + 1,1494.51 sqft,,House,1495 sqft,0,799000,-114.075772447,51.119029996
27414829,A2165362,2,3 + 1,1265.85 sqft,1,House,1266 sqft,0,625000,-114.167361701,51.122948808
27414665,A2165549,3,3 + 0,1474.94 sqft,2,Duplex,1475 sqft,1,609900,-114.1651016,51.1861721
27414664,A2161078,2,2 + 0,1546.44 sqft,4,Apartment,1546 sqft,0,549900,-114.100076484,51.028334412
27414651,A2165741,5,3 + 2,2390 sqft,2,House,2390 sqft,2,829000,-113.939162118,51.130078113
27414647,A2165796,4,3 + 1,1978.44 sqft,2,Duplex,1978 sqft,1,849000,-114.061086851,51.086734545
27414577,A2165622,2,2 + 0,693.96 sqft,5,Apartment,694 sqft,0,395000,-113.9525169,51.1504895
27414519,A2165613,4,2 + 1,1290 sqft,2,Row / Townhouse,1290 sqft,1,534900,-113.999245341,51.041723245
27414516,A2165072,7,3 + 2,3491.49 sqft,2,House,3491 sqft,2,2999900,-114.082268086,51.073939218
27414477,A2165750,3,2 + 0,1349 sqft,3,Row / Townhouse,1349 sqft,1,479900,-114.168342957,51.17440724
27414475,A2165775,2,4 + 0,1846 sqft,3,Row / Townhouse,1846 sqft,0,619999,-114.0581662,51.0708954
27414420,A2164502,1,2 + 0,693.55 sqft,4,Apartment,694 sqft,0,294500,-114.115599256,50.905656702
27414279,A2165774,3,2 + 0,1613 sqft,2,House,1613 sqft,1,639000,-113.923655344,50.904986507
27414276,A2165222,1,1 + 0,490.73 sqft,4,Apartment,491 sqft,0,357500,-114.146472618,51.079486177
27414274,A2165666,1,2 + 0,1072.08 sqft,1,Mobile Home,1072 sqft,0,89000,-113.9383919,51.0386175
27414206,A2165716,2,2 + 0,1123.68 sqft,3,Row / Townhouse,1124 sqft,1,415000,-114.152668417,51.182790458
27413970,A2165751,3,4 + 0,2306.86 sqft,2,House,2307 sqft,0,809900,-113.9424282,51.1683758
27413913,A2165617,2,3 + 2,926 sqft,,House,926 sqft,0,629999,-113.959761903,51.070182383
27413911,A2165027,4,3 + 2,1800 sqft,2,House,1800 sqft,1,769000,-113.958145447,50.867669362
27413906,A2165733,4,3 + 2,1765.7 sqft,2,House,1766 sqft,1,739000,-113.947207081,51.168661022
27413785,A2165224,2,2 + 0,853.83 sqft,5,Apartment,854 sqft,0,426835,-113.911675283,51.036533789
27413649,A2164307,2,3 + 0,1431.22 sqft,1,Row / Townhouse,1431 sqft,0,579000,-113.9765213,50.8663289
27413648,A2163418,4,4 + 1,1688 sqft,2,House,1688 sqft,1,729900,-113.9431889,51.1365151
27413647,A2165606,4,3 + 1,2013.24 sqft,2,House,2013 sqft,1,850000,-114.2147768,51.0371158
27413593,A2165720,3,3 + 0,1475 sqft,2,Row / Townhouse,1475 sqft,1,549900,-113.895271408,50.90882263
27413580,A2163478,3,3 + 1,1560.6 sqft,2,House,1561 sqft,1,825000,-114.030179461,50.919602016
27413579,A2164946,5,5 + 2,2302.58 sqft,2,House,2303 sqft,0,879990,-113.932698613,51.15206414
27413473,A2165425,3,3 + 0,1531 sqft,2,House,1531 sqft,1,568000,-114.196908032,51.146082959
27413470,A2165685,2,2 + 0,1025.44 sqft,1,House,1025 sqft,0,569900,-114.061011943,50.985412553
27413465,A2164920,4,4 + 1,2404 sqft,2,House,2404 sqft,1,895000,-113.921567594,50.89315524
27413273,A2165710,3,4 + 0,1905.08 sqft,2,House,1905 sqft,0,719900,-114.170483214,51.186411534
27413272,A2165711,5,3 + 2,1846 sqft,2,Duplex,1846 sqft,1,1075000,-114.076261443,51.095016867
27413271,A2165690,,,3692 sqft,2,Multi-Family,3692 sqft,,2150000,-114.0763733,51.0954637
27413262,A2162880,3,3 + 0,1390.96 sqft,2,House,1391 sqft,1,589900,-114.047231494,51.146593553
27413214,A2165272,5,3 + 2,1846 sqft,2,Duplex,1846 sqft,1,1075000,-114.076261443,51.095016867
27413213,A2164717,3,3 + 0,1967.7 sqft,2,House,1968 sqft,1,808000,-114.084846653,50.923588885
27413212,A2165701,3,3 + 0,1504 sqft,2,Row / Townhouse,1504 sqft,1,571080,-113.895271408,50.90882263
27413211,A2164015,2,2 + 1,987.46 sqft,1,House,987 sqft,0,1098888,-114.097768964,51.042131154
27413209,A2164512,1,2 + 0,855.06 sqft,3,Apartment,855 sqft,0,349880,-114.0736781,51.0386055
27413208,A2165702,3,2 + 0,1328 sqft,3,Row / Townhouse,1328 sqft,1,509000,-114.067278972,50.863830044
27413207,A2165517,4,3 + 1,1977 sqft,2,Duplex,1977 sqft,1,1150000,-114.1133591,51.0791124
27413203,A2165485,1,1 + 0,614.13 sqft,17,Apartment,614 sqft,0,279900,-114.0784896,51.0397413
27413197,A2165581,1,1 + 0,506 sqft,5,Apartment,506 sqft,0,199900,-114.082406503,51.035779408
27413078,A2160958,1,2 + 0,827.69 sqft,4,Apartment,828 sqft,0,275000,-114.04946281,51.052190862
27413077,A2165568,2,2 + 0,1011 sqft,4,Apartment,1011 sqft,0,535000,-114.207488373,51.035600717
27412996,A2165346,2,2 + 0,627.91 sqft,4,Apartment,628 sqft,0,360000,-114.050080667,51.058156365
27412991,A2165529,2,2 + 0,791.76 sqft,4,Apartment,792 sqft,0,419900,-114.0258417,50.8647773
27412796,A2165679,3,3 + 2,1345 sqft,1,House,1345 sqft,1,749000,-114.165665051,51.113340891
27412667,A2165294,3,3 + 2,1203 sqft,1,House,1203 sqft,1,748000,-114.158328454,51.110222998
27412665,A2162262,2,2 + 2,895.93 sqft,1,House,896 sqft,0,699800,-114.060990847,50.981175535
27412554,A2163789,2,3 + 2,1036.92 sqft,,House,1037 sqft,0,609000,-113.9913322,51.0426317
27412475,A2165535,2,1 + 2,1097.98 sqft,2,House,1098 sqft,0,549000,-114.054442916,51.120851262
27412471,A2165674,3,3 + 0,2043.62 sqft,2,House,2044 sqft,1,759900,-114.115407,50.9160776
27412417,A2165585,2,2 + 0,1358.71 sqft,2,Row / Townhouse,1359 sqft,0,380000,-114.048346855,51.172068966
27412409,A2165360,2,2 + 0,961.6 sqft,12,Apartment,962 sqft,1,325000,-114.093758777,51.041605184
27412401,A2165612,3,3 + 0,1443 sqft,,House,1443 sqft,1,1099000,-114.147842848,51.086380624
27412394,A2165574,3,3 + 1,1154.95 sqft,,House,1155 sqft,1,694900,-114.161943908,51.116397413
27412197,A2165565,1,1 + 0,652.15 sqft,4,Apartment,652 sqft,0,259900,-114.057969269,51.161178655
27412196,A2165655,2,3 + 0,1253.37 sqft,2,House,1253 sqft,0,925000,-114.1051794,51.024703
27412194,A2165518,2,3 + 0,1216 sqft,1,Mobile Home,1216 sqft,0,185000,-114.211545179,51.086248789
27412075,A2165091,3,3 + 0,1667 sqft,,Row / Townhouse,1667 sqft,1,679900,-114.144849519,51.058668025
27412074,A2165122,1,2 + 0,969.95 sqft,4,Apartment,970 sqft,0,289999,-114.159662525,51.086181157
27412059,A2165599,4,3 + 1,1630 sqft,2,House,1630 sqft,1,799900,-114.1826825,51.1464265
27411983,A2165644,3,3 + 0,1234 sqft,1,House,1234 sqft,1,699900,-114.160601544,51.114995225
27411979,A2165171,3,3 + 0,1391 sqft,2,Row / Townhouse,1391 sqft,1,539000,-113.956211076,51.152055034
27411965,A2165507,5,5 + 2,2594.1 sqft,2,House,2594 sqft,0,949900,-113.9360275,51.1346489
27411830,A2165633,2,1 + 0,1008 sqft,5,Apartment,1008 sqft,0,539900,-114.076673515,51.034802585
27411485,A2164627,4,3 + 1,2473 sqft,2,House,2473 sqft,1,925000,-113.974543163,50.860488844
27411483,A2165557,3,2 + 0,1314.61 sqft,3,Row / Townhouse,1315 sqft,1,465000,-114.072800283,51.171444383
27411482,A2165467,3,3 + 0,2036.14 sqft,3,Row / Townhouse,2036 sqft,1,599900,-114.099015419,51.070822002
27411477,A2160944,4,3 + 2,1969 sqft,2,House,1969 sqft,1,824900,-114.09721233,50.927442447
27411471,A2165370,2,2 + 0,951 sqft,4,Apartment,951 sqft,0,489000,-114.130249627,51.015698526
27411386,A2165608,3,2 + 0,1236.2 sqft,3,Row / Townhouse,1236 sqft,1,429000,-114.070478772,51.169940829
27411383,A2165220,4,3 + 1,2252.68 sqft,2,House,2253 sqft,1,709900,-114.259399689,51.090953168
27411380,A2165182,2,3 + 1,1197 sqft,2,Duplex,1197 sqft,1,449900,-113.948717325,51.103088918
27411377,A2165610,1,1 + 0,665 sqft,34,Apartment,665 sqft,0,319999,-114.060303692,51.038832701
27411374,A2162761,3,2 + 2,1000 sqft,1,House,1000 sqft,0,879900,-114.085919509,50.974199279
27411373,A2164453,4,3 + 2,2642.13 sqft,2,House,2642 sqft,1,1099000,-114.127539091,51.182714776
27411334,A2063008,2,2 + 0,715.09 sqft,4,Apartment,715 sqft,0,365000,-114.091038395,51.182167215
27411096,A2165340,1,1 + 0,584.52 sqft,1,Row / Townhouse,585 sqft,0,289900,-114.264655351,51.106416209
27411095,A2165140,1,1 + 0,617.42 sqft,3,Apartment,617 sqft,0,289900,-114.062587873,51.039789898
27411062,A2165562,3,3 + 0,2329.7 sqft,2,House,2330 sqft,1,850000,-114.0178082,50.9430992
27411056,A2165248,1,1 + 0,580.8 sqft,4,Apartment,581 sqft,0,276500,-114.0457402,51.1538333
27410947,A2165571,1,1 + 0,582 sqft,4,Apartment,582 sqft,0,239900,-114.089442077,51.166623592
27410730,A2163049,5,6 + 1,3184 sqft,,House,3184 sqft,1,1195000,-114.178226293,51.055743607
27410700,A2165368,3,2 + 0,1505.7 sqft,2,Row / Townhouse,1506 sqft,1,549900,-114.1191257,51.036578
27410578,A2165005,3,3 + 1,1181 sqft,,House,1181 sqft,2,694900,-114.140020623,51.087795936
27410576,A2164163,3,2 + 0,1288.37 sqft,2,Row / Townhouse,1288 sqft,1,440000,-114.038520333,50.876924828
27410573,A2165544,4,3 + 0,2111 sqft,2,House,2111 sqft,1,750000,-113.9446319,50.9263539
27410572,A2165515,1,2 + 0,787 sqft,2,Row / Townhouse,787 sqft,0,318000,-114.151189101,51.182773057
27410500,A2165143,4,3 + 2,2361.4 sqft,2,House,2361 sqft,1,1799900,-114.1077275,51.0593507
27410472,A2162537,3,3 + 0,1847.97 sqft,3,Duplex,1848 sqft,1,629900,-114.020603605,50.866637607
27410376,A2165196,2,2 + 0,1307 sqft,,Row / Townhouse,1307 sqft,1,460000,-114.115412904,50.962246339
27410171,A2165301,4,3 + 0,1987.37 sqft,2,House,1987 sqft,1,1100000,-114.1721552,51.0390234
27410166,A2165541,2,2 + 0,989.51 sqft,34,Apartment,990 sqft,0,849500,-114.068790037,51.041889606
27410080,A2165170,2,3 + 2,1134.94 sqft,,House,1135 sqft,0,580000,-114.042302982,50.969380885
27410063,A2164032,3,3 + 1,1412.4 sqft,2,House,1412 sqft,1,620000,-114.215522627,51.144822738
27409902,A2163712,3,3 + 1,1471.19 sqft,1,House,1471 sqft,0,724900,-114.133344679,50.967979483
27409857,A2165500,4,3 + 2,2090 sqft,2,House,2090 sqft,1,857900,-114.167534878,51.1780565
27409840,A2163344,3,2 + 1,1126 sqft,1,Row / Townhouse,1126 sqft,0,515000,-114.077439003,50.920150374
27409836,A2165551,3,3 + 1,1602 sqft,3,Row / Townhouse,1602 sqft,1,525000,-114.162317311,51.025161879
27409829,A2165550,4,3 + 1,1767 sqft,2,House,1767 sqft,1,736900,-114.21035743,51.146162691
27409826,A2165520,4,4 + 1,2218 sqft,2,House,2218 sqft,1,890000,-114.176162925,51.029923925
27409825,A2165451,3,3 + 1,1253 sqft,1,House,1253 sqft,1,699900,-114.116638546,50.934469386
27409705,A2165181,2,2 + 0,833 sqft,2,Row / Townhouse,833 sqft,0,474900,-114.205639241,51.035116494
27409680,A2159058,2,3 + 0,1172 sqft,2,Row / Townhouse,1172 sqft,1,449500,-114.109393411,50.959541821
27409677,A2165536,1,1 + 0,770 sqft,6,Apartment,770 sqft,0,459000,-114.067609792,51.042751508
27409582,A2163436,2,2 + 0,848.96 sqft,4,Apartment,849 sqft,0,319000,-113.9566761,51.1636445
27409581,A2164971,3,4 + 1,1775.48 sqft,1,Duplex,1775 sqft,0,1169000,-114.12334098,51.031465959
27409556,A2165532,1,2 + 0,570 sqft,4,Apartment,570 sqft,0,276999,-113.9242533,51.1181911
27409532,A2165497,4,3 + 1,1890.21 sqft,2,House,1890 sqft,1,759900,-114.074591761,51.159009748
27409531,A2165267,3,1 + 3,2788 sqft,1,House,2788 sqft,1,1350000,-114.242881162,51.147558633
27409530,A2165092,2,2 + 0,930.02 sqft,4,Apartment,930 sqft,0,309900,-114.120297641,50.900859727
27409529,A2165492,4,3 + 1,1748.3 sqft,2,House,1748 sqft,1,722900,-113.952785237,51.167240904
27409493,A2164276,3,2 + 2,1700.15 sqft,1,House,1700 sqft,0,1699900,-114.127010428,51.063110459
27409490,A2165201,2,2 + 0,1382 sqft,4,Apartment,1382 sqft,0,799900,-114.132014623,51.016208269
27409479,A2165068,4,3 + 2,1930 sqft,2,House,1930 sqft,1,749000,-113.964135204,51.121338667
27409469,A2165443,4,3 + 1,1617 sqft,2,House,1617 sqft,1,749900,-114.197994229,51.018225564
27409360,A2165276,4,3 + 2,1879 sqft,2,House,1879 sqft,1,689000,-114.116254308,50.898460794
27409340,A2164884,3,3 + 2,1385 sqft,1,House,1385 sqft,0,1099999.99,-114.078035292,50.989438284
27409293,A2165505,3,4 + 0,1796.16 sqft,2,House,1796 sqft,0,714900,-114.170483214,51.186411534
27409292,A2163136,5,2 + 1,1900.3 sqft,2,Duplex,1900 sqft,1,1229000,-114.109026054,51.026086681
27409170,A2163883,2,2 + 0,1354 sqft,3,Row / Townhouse,1354 sqft,0,409900,-114.048373503,51.171446081
27409165,A2165132,4,3 + 1,1967.1 sqft,2,Duplex,1967 sqft,1,1175000,-114.120013685,51.05846035
27409164,A2164890,3,4 + 1,2196 sqft,2,House,2196 sqft,1,825000,-114.008761879,50.946045454
27409053,A2165131,2,2 + 0,843 sqft,26,Apartment,843 sqft,0,425000,-114.05921241,51.041882142
27409051,A2165095,3,2 + 3,1862 sqft,1,House,1862 sqft,0,945000,-114.186412278,51.130512903
27409022,A2165483,4,2 + 1,1231.47 sqft,1,House,1231 sqft,1,1800000,-114.061441288,51.088570118
27409020,A2165456,2,2 + 0,1062 sqft,21,Apartment,1062 sqft,0,559000,-114.080477089,51.050043161
27409009,A2134219,2,2 + 0,965 sqft,4,Apartment,965 sqft,0,494000,-113.924416242,51.118301113
27409007,A2165458,4,3 + 1,2238.16 sqft,2,House,2238 sqft,1,1249900,-114.0178836,51.0359071
27408920,A2165184,3,4 + 0,2615.69 sqft,2,House,2616 sqft,1,949990,-113.928403678,50.904653269
27408769,A2165466,3,3 + 0,1274.03 sqft,2,Row / Townhouse,1274 sqft,1,539900,-113.942295419,50.871485674
27408767,A2165216,4,4 + 2,2351.18 sqft,2,House,2351 sqft,1,1294000,-114.113284564,51.011542656
27408764,A2163935,3,2 + 2,1045.18 sqft,1,House,1045 sqft,0,750000,-114.077050997,50.981240049
27408757,A2164638,2,3 + 2,1250 sqft,,Duplex,1250 sqft,0,499000,-113.967729493,51.094861525
27408581,A2164498,4,4 + 1,2400 sqft,2,House,2400 sqft,1,869800,-114.180618721,51.13873438
27408579,A2164660,2,3 + 2,1046.04 sqft,1,House,1046 sqft,0,648900,-113.959514725,51.048327227
27408577,A2164634,3,1 + 2,1367.88 sqft,1,House,1368 sqft,1,824900,-114.011071219,50.860179178
27408571,A2165150,1,1 + 0,517 sqft,1,Row / Townhouse,517 sqft,0,259900,-113.955822891,50.869163539
27408568,A2164859,2,2 + 0,964 sqft,4,Apartment,964 sqft,0,347000,-114.120274074,50.899958394
27408418,A2165165,3,3 + 0,1272.52 sqft,3,Row / Townhouse,1273 sqft,1,808395,-114.1265353,51.0179157
27408416,A2164203,6,4 + 2,3210.09 sqft,2,House,3210 sqft,1,2599900,-114.113831186,51.002953328
27408398,A2164437,3,3 + 2,1207 sqft,1,House,1207 sqft,1,888800,-114.14692696,51.089454402
27408134,A2165428,2,2 + 0,830.33 sqft,4,Apartment,830 sqft,0,319900,-114.240448034,51.139139322
27407953,A2164012,4,4 + 1,2685.4 sqft,2,House,2685 sqft,0,880000,-114.002461368,50.855472401
27407952,A2163902,3,3 + 0,1585.5 sqft,2,House,1586 sqft,1,638900,-113.967272448,51.161153044
27407900,A2165084,5,3 + 1,3384 sqft,2,House,3384 sqft,1,2599000,-114.124485824,51.058073119
27407731,A2165017,2,3 + 2,1076 sqft,1,House,1076 sqft,0,619000,-113.980567186,51.03287055
27407722,A2157494,5,4 + 1,3108.55 sqft,2,House,3109 sqft,1,1768000,-114.208405652,51.024078158
27407676,A2164043,1,1 + 0,497.62 sqft,24,Apartment,498 sqft,0,303000,-114.067143373,51.052626317
27407669,A2164483,9,5 + 1,5042.02 sqft,2,House,5042 sqft,3,3695000,-114.196037787,51.048607588
27407654,A2157765,1,1 + 0,602 sqft,8,Apartment,602 sqft,0,215000,-114.0936329,51.0406217
27407551,A2165364,4,2 + 1,2559.34 sqft,2,Duplex,2559 sqft,1,1595000,-114.1385088,51.0496693
27407500,A2164993,4,3 + 1,2508.48 sqft,3,Duplex,2508 sqft,1,1320000,-114.102982685,51.018662474
27407498,A2165357,4,4 + 2,1939.64 sqft,2,House,1940 sqft,1,729888,-113.941447645,51.133638687
27407291,A2164304,4,4 + 1,1751.3 sqft,2,House,1751 sqft,2,700000,-114.1015554,51.1356691
27407290,A2165011,2,2 + 0,878.27 sqft,10,Apartment,878 sqft,1,299900,-114.092818486,51.039141223
27407060,A2165326,3,4 + 0,2317.19 sqft,2,House,2317 sqft,1,749000,-113.9529949,51.1493564
27407059,A2165187,1,2 + 0,568.33 sqft,1,Row / Townhouse,568 sqft,0,379900,-114.209685056,51.03568936
27407058,A2165134,2,2 + 0,1277 sqft,2,House,1277 sqft,1,659000,-114.070700905,51.070874357
27407016,A2164467,1,1 + 0,513.16 sqft,4,Apartment,513 sqft,0,259900,-114.023850482,50.860072145
27407000,A2165337,1,1 + 0,788.45 sqft,17,Apartment,788 sqft,0,320000,-114.087226253,51.048568039
27406998,A2161560,2,2 + 0,902.24 sqft,34,Apartment,902 sqft,0,665000,-114.0689488,51.0418499
27406993,A2165345,4,3 + 1,2315 sqft,,House,2315 sqft,1,850000,-114.109726516,51.176965695
27406669,A2165209,1,1 + 0,715 sqft,3,Apartment,715 sqft,0,355000,-114.239500935,51.133247712
27406668,A2165169,2,3 + 1,1040.55 sqft,1,House,1041 sqft,0,759000,-114.0346932,51.0592014
27406666,A2164379,1,1 + 0,727.9 sqft,4,Apartment,728 sqft,0,283000,-114.074819111,50.989372949
27406658,A2160318,1,1 + 0,485.21 sqft,4,Apartment,485 sqft,0,210000,-114.083325007,51.057736665
27406592,A2165033,3,2 + 0,1375 sqft,4,Apartment,1375 sqft,1,475000,-114.085277647,51.036589667
27406479,A2162381,2,3 + 0,1350.92 sqft,,Row / Townhouse,1351 sqft,1,465000,-114.07013186,51.144760326
27406470,A2165138,3,3 + 0,1528 sqft,3,Row / Townhouse,1528 sqft,1,535555,-114.157355134,51.171725479
27406381,A2165166,5,5 + 3,3452.39 sqft,2,House,3452 sqft,0,1299000,-114.019492724,50.963477503
27406188,A2164833,3,3 + 0,1662 sqft,2,Duplex,1662 sqft,1,619099,-114.070419019,50.8827737
27406182,A2164221,4,3 + 1,2213.9 sqft,2,House,2214 sqft,1,729900,-114.088973548,50.898187612
27406100,A2164456,2,2 + 0,799 sqft,25,Apartment,799 sqft,0,399900,-114.137085138,51.042627639
27406099,A2165142,1,1 + 0,965.69 sqft,1,House,966 sqft,0,499999,-114.065483258,51.070471809
