Date,GeoID,GeoName,NAICS,NAICS Description,Value
2001-01-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,669.59
2001-02-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,669.55
2001-03-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,667.45
2001-04-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,670.74
2001-05-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,663.49
2001-06-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,674.73
2001-07-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,671.95
2001-08-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,672.51
2001-09-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,691.07
2001-10-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,691.96
2001-11-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,674.72
2001-12-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,673.01
2002-01-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,681.76
2002-02-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,687.15
2002-03-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,691.49
2002-04-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,694.93
2002-05-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,679.54
2002-06-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,692.25
2002-07-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,693.56
2002-08-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,682.91
2002-09-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,695.67
2002-10-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,693.36
2002-11-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,701.93
2002-12-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,703.39
2003-01-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,702.02
2003-02-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,719.8
2003-03-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,707.5
2003-04-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,714.7
2003-05-01T00:00:00,48,Alberta,11-91N,Industrial aggregate excluding unclassified businesses,696.36
